movie_name,message_id,channel_id
Mandala Murders,6,-1003181705395
Mandala Murders,7,-1003181705395
Mandala Murders,8,-1003181705395
Zebra 2024,9,-1003181705395
Zebra 2024,10,-1003181705395
Zebra 2024,11,-1003181705395
Zebra 2024,12,-1003181705395
Zebra 2024,13,-1003181705395
Zebra 2024,14,-1003181705395
Show Time 2025,15,-1003181705395
Show Time 2025,16,-1003181705395
Show Time 2025,17,-1003181705395
Show Time 2025,18,-1003181705395
Show Time 2025,19,-1003181705395
Show Time 2025,20,-1003181705395
Bachhala Malli 2024,41,-1003181705395
Bachhala Malli 2024,42,-1003181705395
Bachhala Malli 2024,43,-1003181705395
Bachhala Malli 2024,44,-1003181705395
Bachhala Malli 2024,45,-1003181705395
Bachhala Malli 2024,46,-1003181705395
Bachhala Malli 2024,47,-1003181705395
The Taj Story 2025,8,-1002831605258
The Taj Story 2025,9,-1002831605258
The Taj Story 2025,10,-1002831605258
The Taj Story 2025,11,-1002831605258
The Taj Story 2025,12,-1002831605258
Kis Kisko Pyaar Karoon 2025,20,-1002831605258
Kis Kisko Pyaar Karoon 2025,21,-1002831605258
Kis Kisko Pyaar Karoon 2025,22,-1002831605258
Kis Kisko Pyaar Karoon 2025,23,-1002831605258
Kis Kisko Pyaar Karoon 2025,24,-1002831605258
Akhanda 2 Thaandavam 2025,25,-1002831605258
Akhanda 2 Thaandavam 2025,26,-1002831605258
Akhanda 2 Thaandavam 2025,27,-1002831605258
Akhanda 2 Thaandavam 2025,28,-1002831605258
Akhanda 2 Thaandavam 2025,29,-1002831605258
Akhanda 2 Thaandavam 2025,30,-1002831605258
Akhanda 2 Thaandavam 2025,31,-1002831605258
Avatar Fire and Ash (2025),32,-1002831605258
Avatar Fire and Ash (2025),33,-1002831605258
Avatar Fire and Ash (2025),34,-1002831605258
Avatar Fire and Ash (2025),35,-1002831605258
The Raja Saab 2026,36,-1002831605258
The Raja Saab 2026,37,-1002831605258
The Raja Saab 2026,38,-1002831605258
The Raja Saab 2026,39,-1002831605258
Border 2 2026,41,-1002831605258
Border 2 2026,42,-1002831605258
Border 2 2026,43,-1002831605258
Border 2 2026,44,-1002831605258
GUYS BACKUP CHANNEL JOIN KARO,3,-1002964109368
Squid Game 2021,12,-1003614546520
Rangeen 2025 S01,51,-1003251791991
Rangeen 2025 S01,52,-1003251791991
Rangeen 2025 S01,53,-1003251791991
3BHK (2025),330,-1002337293281
3BHK (2025),331,-1002337293281
3BHK (2025),332,-1002337293281
3BHK (2025),333,-1002337293281
